type,code,name,yobi,naikei,gaikei,atsumi,company,1＝在庫表に載ってないけどある
RWB,RWB00106,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,6,6.6,12.5,1.6,ドブ,
RWB,RWB00108,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,8,9,17,1.6,ドブ,
RWB,RWB001010,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,10,11,21,2,ドブ,
RWB,RWB001012,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,12,14,24,2.3,ドブ,
RWB,RWB001016,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,16,18,30,3.2,ドブ,
RWB,RWB001020,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,20,22,37,3.2,ドブ,
RWB,RWB001022,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,22,24,39,3.2,ドブ,
RWB,RWB001024,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,24,26,44,4.5,ドブ,
RWB,RWB001036,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,36,37,66,5,ドブ,1
RWB,RWB201036,JIS黒丸座ﾄﾞﾌﾞ,36,39,68,6,ドブ,
RWB,RWB201016,JIS黒丸座ﾄﾞﾌﾞ,16,18,32,3.2,ドブ,
RWB,RWB001014,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,14,15,24,2.5,ドブ,1
RWB,RWB201020,JIS黒丸座ﾄﾞﾌﾞ,20,22,40,3.2,ドブ,
RWB,RWB201012,JIS黒丸座ﾄﾞﾌﾞ,12,13.5,26,2.3,ドブ,
RWB,RWB20101/22.3,JIS黒丸座ﾄﾞﾌﾞ,1/2,14.5,26,2.3,ドブ,
RWB,RWB201014,JIS黒丸座ﾄﾞﾌﾞ,14,15.5,30,3.2,ドブ,
RWB,RWB201022,JIS黒丸座ﾄﾞﾌﾞ,22,24,44,4.5,ドブ,
RWB,RWB201024,JIS黒丸座ﾄﾞﾌﾞ,24,26,48,4.5,ドブ,
RWB,RWB201027,JIS黒丸座ﾄﾞﾌﾞ(和光),27,30,52,4.5,ドブ,1
RWB,RWB001027,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,27,30,52,4.5,ドブ,
RWB,RWB001030,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,30,33,56,4.5,ドブ,
RWB,RWB201030,JIS黒丸座ﾄﾞﾌﾞ,30,33,58,4.5,ドブ,
RWB,RWB001033,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ(和光),33,36,60,6,ドブ,1
RWB,RWB201033,JIS黒丸座ﾄﾞﾌﾞ,33,36,62,4.5,ドブ,
RWB,RWB201039,JIS黒丸座ﾄﾞﾌﾞ,39,42,72,6,ドブ,
RWB,RWB201042,JIS黒丸座ﾄﾞﾌﾞ,42,45,78,6,ドブ,
RWB,RWB201010,JIS黒丸座ﾄﾞﾌﾞ,10,11,22,1.6,ドブ,
9RWB,9RWB201010,JIS黒丸座ﾄﾞﾌﾞ,10,11,22,1.6,ドブ,
9RWB,9RWB201012,JIS黒丸座ﾄﾞﾌﾞ,12,13.5,26,2.3,ドブ,
9RWB,9RWB201014,JIS黒丸座ﾄﾞﾌﾞ,14,15,26,2.3,ドブ,1
9RWB,9RWB201016,JIS黒丸座ﾄﾞﾌﾞ,16,18,32,3.2,ドブ,
9RWB,9RWB201020,JIS黒丸座ﾄﾞﾌﾞ,20,22,40,3.2,ドブ,
9RWB,9RWB201022,JIS黒丸座ﾄﾞﾌﾞ,22,24,44,4.5,ドブ,
9RWB,9RWB201024,JIS黒丸座ﾄﾞﾌﾞ,24,26,48,4.5,ドブ,
9RWB,9RWB201030,JIS黒丸座ﾄﾞﾌﾞ,30,33,58,4.5,ドブ,
9RWB,9RWB201036,JIS黒丸座ﾄﾞﾌﾞ,36,39,68,6,ドブ,
9RWB,9RWB201027,JIS黒丸座ﾄﾞﾌﾞ(天晴),27,30,52,4.5,ドブ,1
9RWB,9RWB201027,JIS黒丸座ﾄﾞﾌﾞ(和光),27,30,52,4.5,ドブ,1
9RWB,9RWB00106,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,6,6.6,12.5,1.6,ドブ,
9RWB,9RWB00108,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,8,9,17,1.6,ドブ,
9RWB,9RWB001010,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,10,11,21,2,ドブ,
9RWB,9RWB001012,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,12,14,24,2.3,ドブ,
9RWB,9RWB001014,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,14,15,28,2.5,ドブ,1
9RWB,9RWB001016,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,16,18,30,3.2,ドブ,
9RWB,9RWB001020,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,20,22,37,3.2,ドブ,
9RWB,9RWB001022,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,22,24,39,3.2,ドブ,
9RWB,9RWB001024,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,24,26,44,4.5,ドブ,
9RWB,9RWB001027,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,27,30,52,4.5,ドブ,
9RWB,9RWB001030,黒丸座（ＩＳＯ）ﾄﾞﾌﾞ,30,33,56,4.5,ドブ,
RWBK,RWBK00203/161.6,黒丸座（小箱入）ﾕﾆｸﾛ,3/16,5.5,16,1.6,ユニクロ,
9RWBK,9RWBK00203/161.6,黒丸座（小箱入）ﾕﾆｸﾛ,3/16,5.5,16,1.6,ユニクロ,
RWBK,RWBK00001/41.6,黒丸座（小箱入）,1/4,7,19,1.6,生地,
RWBK,RWBK00101/41.6,黒丸座（小箱入）ﾄﾞﾌﾞ,1/4,7,19,1.6,ドブ,
RWBK,RWBK00201/41.6,黒丸座（小箱入）ﾕﾆｸﾛ,1/4,7,19,1.6,ユニクロ,
RWBK,RWBK00301/41.6,黒丸座（小箱入）ｸﾛﾒｰﾄ,1/4,7,19,1.6,クロメート,
RWBK,RWBK10301/41.6,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,1/4,7,19,1.6,三価クロメート,
9RWBK,9RWBK00001/41.6,黒丸座（小箱入）,1/4,7,19,1.6,生地,
